kural,verification,pal,iyal,adhigaram,adhigaramName,adi,siraPos,sira,togai,sol,split,category,ilakkanam,vetrumai,todar,gloss,confidence
1,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,அகர,,அகர,அகரம் (அகர-),பெயர்,பொருட்பெயர்,,,the letter A,0.9
1,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,முதல,,முதல,முதல்+ஆ (முதலாகிய),வினை,பெயரெச்சம்,,அடைமொழி,being the first/basis (of),0.55
1,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,எழுத்தெல்லாம்,,எழுத்து,எழுத்து,பெயர்,பொருட்பெயர்,,,letters,0.9
1,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,எழுத்தெல்லாம்,,எல்லாம்,எல்லாம்,பெயர்,பொருட்பெயர்,,,all,0.7
1,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,ஆதி,,ஆதி,ஆதி,பெயர்,பண்புப்பெயர்,,அடைமொழி,primordial (Lord),0.6
1,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,பகவன்,,பகவன்,பகவன்,பெயர்,சிறப்புப்பெயர்,,,the Lord / God,0.7
1,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,முதற்றே,,முதற்று,முதல்+து (முதற்று),வினை,குறிப்புவினைமுற்று,,,has (Him) as the first/origin,0.6
1,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,முதற்றே,,ஏ,ஏ,இடை,ஏகாரம்,,,emphatic/assertive particle,0.75
1,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,உலகு,,உலகு,உலகு,பெயர்,இடப்பெயர்,,,the world,0.85
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,கற்றதனால்,,கற்றது,கல்+ற்ற்+அது (கற்றது),பெயர்,வினையாலணையும்பெயர்,3:ஆல்:கருவி/உடன்,,that which was learned,0.7
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,கற்றதனால்,,ஆல்,ஆல்,இடை,வேற்றுமைஉருபு,3:ஆல்:கருவி/உடன்,,instrumental -by,0.75
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,ஆய,,ஆய,ஆ(கு)+ய (ஆகிய),வினை,பெயரெச்சம்,,அடைமொழி,that resulted/accrued,0.75
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,பயனென்கொல்,,பயன்,பயன்,பெயர்,பொருட்பெயர்,,,"benefit, profit",0.85
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,பயனென்கொல்,,என்,என்,பெயர்,வினாப்பெயர்,,,what,0.7
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,பயனென்கொல்,,கொல்,கொல்,இடை,வினாஇடை,,,interrogative/doubt particle,0.8
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,வாலறிவன்,பண்புத்தொகை,வால்,வால் (தூய்மை),உரி,உரிச்சொல்,,அடைமொழி,"pure, clear",0.6
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,வாலறிவன்,பண்புத்தொகை,அறிவன்,அறிவு+அன் (அறிவன்),பெயர்,காரணப்பெயர்,,,the wise one (God),0.65
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,நற்றாள்,பண்புத்தொகை,நல்,நல்,உரி,உரிச்சொல்,,அடைமொழி,good,0.7
