id,chapter,chapterTitleTamil,chapterTitleEn,kuralFrom,kuralTo,lines,manuscriptId,doi,recordURL,imageWidth,imageHeight,pageXml,iiifManifest
CICT-PLM-GT-001,1,கடவுள் வாழ்த்து,Praise of God,1,10,11,18641_3,10.5281/zenodo.20793633,https://zenodo.org/records/20793633,3076,407,page/18641_3.xml,iiif/CICT-PLM-GT-001/manifest.json
CICT-PLM-GT-002,2,வான் சிறப்பு,The Glory of Rain,11,20,10,18651_4,10.5281/zenodo.20793592,https://zenodo.org/records/20793592,2870,386,page/18651_4.xml,iiif/CICT-PLM-GT-002/manifest.json
CICT-PLM-GT-003,3,நீத்தார் பெருமை,The Greatness of Ascetics,21,30,10,18661_5,10.5281/zenodo.19843516,https://zenodo.org/records/19843516,3084,632,page/18661_5.xml,iiif/CICT-PLM-GT-003/manifest.json
CICT-PLM-GT-004,4,அறன் வலியுறுத்தல்,The Assertion of Virtue,31,40,10,18671_6,10.5281/zenodo.19846386,https://zenodo.org/records/19846386,2971,590,page/18671_6.xml,iiif/CICT-PLM-GT-004/manifest.json
CICT-PLM-GT-005,5,இல்வாழ்க்கை,Domestic Life,41,50,10,18681_7,10.5281/zenodo.19849060,https://zenodo.org/records/19849060,2964,598,page/18681_7.xml,iiif/CICT-PLM-GT-005/manifest.json
CICT-PLM-GT-006,6,வாழ்க்கைத் துணைநலம்,The Goodness of a Wife,51,60,10,18691_8,10.5281/zenodo.19873235,https://zenodo.org/records/19873235,2795,479,page/18691_8.xml,iiif/CICT-PLM-GT-006/manifest.json
CICT-PLM-GT-007,7,புதல்வரைப் பெறுதல்,The Begetting of Sons,61,70,10,18701_9,10.5281/zenodo.19874619,https://zenodo.org/records/19874619,2956,506,page/18701_9.xml,iiif/CICT-PLM-GT-007/manifest.json
CICT-PLM-GT-008,8,அன்புடைமை,The Possession of Love,71,80,10,18711_10,10.5281/zenodo.19883369,https://zenodo.org/records/19883369,2889,558,page/18711_10.xml,iiif/CICT-PLM-GT-008/manifest.json
CICT-PLM-GT-009,9,விருந்தோம்பல்,Hospitality,81,90,10,18721_11,10.5281/zenodo.19906472,https://zenodo.org/records/19906472,3021,621,page/18721_11.xml,iiif/CICT-PLM-GT-009/manifest.json
CICT-PLM-GT-010,10,இனியவை கூறல்,The Utterance of Pleasant Words,91,100,10,18731_12,10.5281/zenodo.19911021,https://zenodo.org/records/19911021,2877,574,page/18731_12.xml,iiif/CICT-PLM-GT-010/manifest.json
CICT-PLM-GT-011,11,செய்ந்நன்றி அறிதல்,Gratitude,101,110,10,18741_13,10.5281/zenodo.19914119,https://zenodo.org/records/19914119,2869,541,page/18741_13.xml,iiif/CICT-PLM-GT-011/manifest.json
CICT-PLM-GT-012,12,நடுவு நிலைமை,Impartiality,111,120,10,18751_14,10.5281/zenodo.20033317,https://zenodo.org/records/20033317,2845,524,page/18751_14.xml,iiif/CICT-PLM-GT-012/manifest.json
CICT-PLM-GT-013,13,அடக்கமுடைமை,Self-Control,121,130,10,18761_15,10.5281/zenodo.20035113,https://zenodo.org/records/20035113,2907,548,page/18761_15.xml,iiif/CICT-PLM-GT-013/manifest.json
